database,table_name,row_count,last_modified_ts,last_modified_utc
retail_gold,gold_store_classification,241,1774554453000,2026-03-26 19:47:33 UTC
retail_gold,gold_supplier_scorecard,30,1774416906000,2026-03-25 05:35:06 UTC
retail_gold,gold_unconstrained_demand,140537885,1774417089000,2026-03-25 05:38:09 UTC
retail_gold,gold_weather_impact,891,1774416917000,2026-03-25 05:35:17 UTC
retail_gold,po_audit_log,0,1775393710000,2026-04-05 12:55:10 UTC
retail_gold,price_change_approval,0,1775393723000,2026-04-05 12:55:23 UTC
retail_gold,price_scenario,0,1775393716000,2026-04-05 12:55:16 UTC
retail_gold,s_op_minutes,0,1775393703000,2026-04-05 12:55:03 UTC
retail_gold,schema_documentation,ERROR: [TABLE_OR_VIEW_NOT_FOUND] The table or v,,
retail_ml,churn_feature_importance,7,1775496516000,2026-04-06 17:28:36 UTC
retail_ml,churn_scores,50000,1775496533000,2026-04-06 17:28:53 UTC
retail_ml,clv_scores,50000,1775414531000,2026-04-05 18:42:11 UTC
retail_ml,demand_features,140537885,1774554764000,2026-03-26 19:52:44 UTC
retail_ml,demand_features_validated,140537885,1774556295000,2026-03-26 20:18:15 UTC
retail_ml,forecast_output,351378,1774803372000,2026-03-29 16:56:12 UTC
retail_ml,price_elasticity_metrics,27,1775495774000,2026-04-06 17:16:14 UTC
retail_ml,price_recommendations,486,1775495767000,2026-04-06 17:16:07 UTC
